192.0.0.32, -, 07/06/01, 12:55:40, W3SVC, APHRODITE, 192.0.0.100, 701, 302, 72, 304, 0, GET, /default.htm, -, 
192.0.0.32, -, 07/06/01, 15:40:43, W3SVC, APHRODITE, 192.0.0.100, 190, 305, 72, 304, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.32, -, 07/06/01, 15:40:47, W3SVC, APHRODITE, 192.0.0.100, 4226, 291, 8557, 200, 0, GET, /Info TSAII/default.htm, -, 
192.0.0.32, -, 07/06/01, 15:40:47, W3SVC, APHRODITE, 192.0.0.100, 180, 270, 10505, 200, 0, GET, /Info TSAII/Images/backgrnd.gif, -, 
192.0.0.32, -, 07/06/01, 15:40:48, W3SVC, APHRODITE, 192.0.0.100, 161, 270, 1193, 200, 0, GET, /Info TSAII/Images/bullet_h.gif, -, 
192.0.0.32, -, 07/06/01, 15:40:48, W3SVC, APHRODITE, 192.0.0.100, 241, 270, 1199, 200, 0, GET, /Info TSAII/Images/bullet_p.gif, -, 
192.0.0.32, -, 07/06/01, 15:40:48, W3SVC, APHRODITE, 192.0.0.100, 191, 270, 1203, 200, 0, GET, /Info TSAII/Images/bullet_d.gif, -, 
192.0.0.32, -, 07/06/01, 15:40:48, W3SVC, APHRODITE, 192.0.0.100, 221, 265, 36295, 200, 0, GET, /Info TSAII/Images/idf.gif, -, 
192.0.0.32, -, 07/06/01, 15:40:48, W3SVC, APHRODITE, 192.0.0.100, 150, 270, 1208, 200, 0, GET, /Info TSAII/Images/bullet_s.gif, -, 
192.0.0.32, -, 07/06/01, 15:40:48, W3SVC, APHRODITE, 192.0.0.100, 150, 270, 1204, 200, 0, GET, /Info TSAII/Images/bullet_t.gif, -, 
192.0.0.32, -, 07/06/01, 15:41:56, W3SVC, APHRODITE, 192.0.0.100, 110, 315, 29098, 200, 0, GET, /Info TSAII/contenu.htm, -, 
192.0.0.32, -, 07/06/01, 15:41:56, W3SVC, APHRODITE, 192.0.0.100, 451, 266, 1166, 200, 0, GET, /Info TSAII/Images/Undo.gif, -, 
192.0.0.32, -, 07/06/01, 15:43:58, W3SVC, APHRODITE, 192.0.0.100, 0, 350, 72, 304, 0, GET, /Download/default.htm, -, 
192.0.0.32, -, 07/06/01, 15:43:58, W3SVC, APHRODITE, 192.0.0.100, 70, 323, 72, 304, 0, GET, /Download/Images/toptxtr.gif, -, 
192.0.0.32, -, 07/06/01, 15:44:56, W3SVC, APHRODITE, 192.0.0.100, 57913, 310, 324053, 200, 0, GET, /Download/HEX32setup.exe, -, 
192.0.0.48, -, 07/06/01, 16:01:25, W3SVC, APHRODITE, 192.0.0.100, 0, 322, 72, 304, 0, GET, /default.htm, -, 
192.0.0.48, -, 07/06/01, 16:01:26, W3SVC, APHRODITE, 192.0.0.100, 1061, 294, 72, 304, 0, GET, /Images/toptxtr.gif, -, 
192.0.0.48, -, 07/06/01, 16:01:26, W3SVC, APHRODITE, 192.0.0.100, 20, 305, 72, 304, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.48, -, 07/06/01, 16:01:35, W3SVC, APHRODITE, 192.0.0.100, 8963, 307, 6571, 200, 0, GET, /Download/default.htm, -, 
192.0.0.48, -, 07/06/01, 16:01:35, W3SVC, APHRODITE, 192.0.0.100, 151, 261, 1037, 200, 0, GET, /Download/Images/toptxtr.gif, -, 
192.0.0.35, -, 07/06/01, 16:44:24, W3SVC, APHRODITE, 192.0.0.100, 500, 302, 72, 304, 0, GET, /default.htm, -, 
192.0.0.35, -, 07/06/01, 16:44:25, W3SVC, APHRODITE, 192.0.0.100, 1392, 294, 72, 304, 0, GET, /Images/toptxtr.gif, -, 
192.0.0.35, -, 07/06/01, 16:44:25, W3SVC, APHRODITE, 192.0.0.100, 191, 305, 72, 304, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.35, -, 07/06/01, 16:44:38, W3SVC, APHRODITE, 192.0.0.100, 12427, 354, 72, 304, 0, GET, /Info TSAII/default.htm, -, 
192.0.0.35, -, 07/06/01, 16:44:38, W3SVC, APHRODITE, 192.0.0.100, 121, 334, 72, 304, 0, GET, /Info TSAII/Images/backgrnd.gif, -, 
192.0.0.35, -, 07/06/01, 16:44:38, W3SVC, APHRODITE, 192.0.0.100, 10, 329, 72, 304, 0, GET, /Info TSAII/Images/idf.gif, -, 
192.0.0.35, -, 07/06/01, 16:44:38, W3SVC, APHRODITE, 192.0.0.100, 10, 332, 72, 304, 0, GET, /Info TSAII/Images/bullet_d.gif, -, 
192.0.0.35, -, 07/06/01, 16:44:38, W3SVC, APHRODITE, 192.0.0.100, 210, 332, 72, 304, 0, GET, /Info TSAII/Images/bullet_h.gif, -, 
192.0.0.35, -, 07/06/01, 16:44:38, W3SVC, APHRODITE, 192.0.0.100, 100, 332, 72, 304, 0, GET, /Info TSAII/Images/bullet_p.gif, -, 
192.0.0.35, -, 07/06/01, 16:44:38, W3SVC, APHRODITE, 192.0.0.100, 100, 332, 72, 304, 0, GET, /Info TSAII/Images/bullet_t.gif, -, 
192.0.0.35, -, 07/06/01, 16:44:38, W3SVC, APHRODITE, 192.0.0.100, 10, 332, 72, 304, 0, GET, /Info TSAII/Images/bullet_s.gif, -, 
192.0.0.35, -, 07/06/01, 16:45:02, W3SVC, APHRODITE, 192.0.0.100, 24105, 376, 72, 304, 0, GET, /Info TSAII/place.htm, -, 
192.0.0.35, -, 07/06/01, 16:49:04, W3SVC, APHRODITE, 192.0.0.100, 0, 302, 72, 304, 0, GET, /default.htm, -, 
192.0.0.35, -, 07/06/01, 16:49:05, W3SVC, APHRODITE, 192.0.0.100, 461, 294, 72, 304, 0, GET, /Images/toptxtr.gif, -, 
192.0.0.35, -, 07/06/01, 16:49:05, W3SVC, APHRODITE, 192.0.0.100, 0, 305, 72, 304, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.35, -, 07/06/01, 16:49:11, W3SVC, APHRODITE, 192.0.0.100, 6189, 350, 72, 304, 0, GET, /Download/default.htm, -, 
192.0.0.35, -, 07/06/01, 16:49:11, W3SVC, APHRODITE, 192.0.0.100, 6249, 323, 72, 304, 0, GET, /Download/Images/toptxtr.gif, -, 
192.0.0.35, -, 07/06/01, 16:49:11, W3SVC, APHRODITE, 192.0.0.100, 110, 325, 72, 304, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.35, -, 07/06/01, 16:49:45, W3SVC, APHRODITE, 192.0.0.100, 34259, 310, 324053, 200, 0, GET, /Download/HEX32setup.exe, -, 
192.0.0.35, -, 07/06/01, 16:50:03, W3SVC, APHRODITE, 192.0.0.100, 52475, 305, 24814, 200, 0, GET, /Download/crc16.exe, -, 
